"regime","rep","inv","temp","n"
"Alternating","G_17","ML",40,0
"Alternating","G_17","ML",40,0
"Alternating","G_18","EP",12,2
"Alternating","G_18","EP",12,4
"Alternating","G_18","EP",12,6
"Alternating","G_18","ML",12,1
"Alternating","G_18","ML",12,2
"Alternating","G_18","ML",24,149
"Alternating","G_18","ML",24,199
"Alternating","G_18","ML",24,106
"Alternating","G_18","EP",24,116
"Alternating","G_18","EP",24,134
"Alternating","G_18","EP",32,402
"Alternating","G_18","EP",32,955
"Alternating","G_18","ML",32,708
"Alternating","G_18","ML",32,307
"Alternating","G_18","ML",32,442
"Alternating","G_18","ML",40,0
"Alternating","G_18","ML",40,0
"Alternating","G_18","ML",40,0
"Alternating","G_18","ML",40,0
"Alternating","G_18","ML",40,0
"Alternating","G_21","EP",12,7
"Alternating","G_21","EP",12,4
"Alternating","G_21","ML",12,1
"Alternating","G_21","ML",12,0
"Alternating","G_21","ML",12,3
"Alternating","G_21","EP",24,139
"Alternating","G_21","EP",24,122
"Alternating","G_21","EP",24,115
"Alternating","G_21","ML",24,129
"Alternating","G_21","ML",24,108
"Alternating","G_21","EP",32,470
"Alternating","G_21","EP",32,312
"Alternating","G_21","ML",32,596
"Alternating","G_21","EP",32,621
"Alternating","G_21","ML",32,532
"Alternating","G_21","ML",40,0
"Alternating","G_21","ML",40,0
"Alternating","G_21","ML",40,0
"Alternating","G_21","ML",40,0
"Alternating","G_21","ML",40,0
